PLAYER,SEASON,FGM,FGA,TPM,TPA,FTM,FTA,FGP,TPP,FTP
Arvydas Sabonis,1998,407,826,30,115,323,405,0.492736077,0.260869565,0.797530864
Rex Chapman,1998,408,956,120,311,146,187,0.426778243,0.38585209,0.780748663
Jerry Stackhouse,1998,424,975,47,195,354,450,0.434871795,0.241025641,0.786666667
Detlef Schrempf,1998,437,898,61,147,297,352,0.486636971,0.414965986,0.84375
Jim Jackson,1998,476,1107,61,191,229,282,0.429990967,0.319371728,0.812056738
Larry Johnson,1998,429,884,15,63,214,283,0.485294118,0.238095238,0.756183746
Lamond Murray,1998,473,984,54,153,220,294,0.480691057,0.352941176,0.74829932
Kobe Bryant,1998,391,913,75,220,363,457,0.428258488,0.340909091,0.794310722
Donyell Marshall,1998,451,1090,63,201,158,216,0.413761468,0.313432836,0.731481481
Nick Anderson,1998,343,754,77,214,127,199,0.454907162,0.359813084,0.638190955
Ron Mercer,1998,515,1145,3,28,188,224,0.449781659,0.107142857,0.839285714
Charles Barkley,1998,361,744,18,84,296,397,0.485215054,0.214285714,0.74559194
Rodney Rogers,1998,426,935,72,212,225,328,0.455614973,0.339622642,0.68597561
Antonio McDyess,1998,497,927,0,2,231,329,0.53613808,0,0.70212766
Tracy Murray,1998,449,1007,158,403,182,209,0.445878848,0.392059553,0.870813397
Jamal Mashburn,1998,251,577,37,122,184,231,0.435008666,0.303278689,0.796536797
Johnny Newman,1998,344,799,36,105,365,445,0.430538173,0.342857143,0.820224719
Wesley Person,1998,440,957,192,447,132,170,0.459770115,0.429530201,0.776470588
Joe Smith,1998,464,1070,0,8,227,293,0.43364486,0,0.774744027
Rasheed Wallace,1998,466,875,8,39,184,278,0.532571429,0.205128205,0.661870504
LaPhonso Ellis,1998,410,1003,57,201,206,256,0.408773679,0.28358209,0.8046875
Alan Henderson,1998,365,753,3,6,253,388,0.484727756,0.5,0.652061856
Jeff Hornacek,1998,399,828,56,127,285,322,0.481884058,0.440944882,0.885093168
Clifford Robinson,1998,429,895,27,84,248,360,0.479329609,0.321428571,0.688888889
John Wallace,1998,468,979,1,2,210,293,0.478038815,0.5,0.716723549
Zydrunas Ilgauskas,1998,454,876,1,4,230,302,0.51826484,0.25,0.761589404
Christian Laettner,1998,354,730,6,27,306,354,0.484931507,0.222222222,0.86440678
Nick Van Exel,1998,311,743,123,316,136,172,0.418573351,0.389240506,0.790697674
Ike Austin,1998,406,871,0,8,243,363,0.466130884,0,0.669421488
Danny Manning,1998,390,756,0,7,167,226,0.515873016,0,0.738938053
Kendall Gill,1998,418,974,26,101,225,327,0.429158111,0.257425743,0.688073394
Rony Seikaly,1998,250,579,0,2,246,332,0.431778929,0,0.740963855
Toni Kukoc,1998,382,840,63,174,155,219,0.454761905,0.362068966,0.707762557
Mookie Blaylock,1998,368,938,90,334,95,134,0.392324094,0.269461078,0.708955224
