Team,GM,Team_Payroll,Winning_Percentage,Year,Relative_Payroll
LA Angels,Tony Reagins,119216333,0.617,2008,1.491065579
LA Dodgers,Ned Colletti,118588536,0.519,2008,1.48321358
Miami Marlins,Mike Hill,21811500,0.522,2008,0.272801352
Milwaukee Brewers,Douglas Melvin,80937499,0.556,2008,1.012303564
Minnesota Twins,Bill Smith,56932766,0.54,2008,0.712070952
NY Mets,Omar Minaya,137793376,0.549,2008,1.723412848
NY Yankees,Brian Cashman,209081577,0.549,2008,2.615030465
Oakland Athletics,Billy Beane,47967126,0.466,2008,0.599935669
Philadelphia Phillies,Pat Gillick,98269880,0.568,2008,1.229083565
Pittsburgh Pirates,Neal Huntington,48689783,0.414,2008,0.608974103
San Diego Padres,Kevin Towers,73677616,0.389,2008,0.921502569
San Francisco Giants,Brian Sabean,76594500,0.444,2008,0.957984696
Seattle Mariners,Bill Bavasi,117666482,0.377,2008,1.471681243
St. Louis Cardinals,John Mozeliak,99624449,0.531,2008,1.246025465
Tampa Bay Rays,Andrew Friedman,43820597,0.599,2008,0.548074095
Texas Rangers,Jon Daniels,67712326,0.488,2008,0.846893341
Toronto Blue Jays,J.P. Ricciardi,97793900,0.531,2008,1.223130375
Washington Nationals,Jim Bowden,54961000,0.366,2008,0.687409629
Arizona DBacks,Josh Byrnes,73571667,0.432,2009,0.904833576
Atlanta Braves,Frank Wren,96726167,0.531,2009,1.189603106
Baltimore Orioles,Andy MacPhail,67101667,0.395,2009,0.825261188
Boston Red Sox,Theo Epstein,122696000,0.586,2009,1.508997485
Chicago Cubs,Jim Hendry,135050000,0.516,2009,1.660935241
Chicago White Sox,Ken Williams,96068500,0.488,2009,1.181514678
Cincinnati Reds,Walt Jocketty,70968500,0.481,2009,0.872818087
Cleveland Indians,Mark Shapiro,81625567,0.401,2009,1.003885826
Colorado Rockies,Dan O'Dowd,75201000,0.568,2009,0.924872203
Detroit Tigers,Dave Dombrowski,115085145,0.528,2009,1.415394099
Houston Astros,Ed Wade,102996415,0.457,2009,1.266718811
KC Royals,Dayton Moore,70908333,0.401,2009,0.872078113
LA Angels,Tony Reagins,113709000,0.599,2009,1.398469347
LA Dodgers,Ned Colletti,100458101,0.586,2009,1.235500927
Miami Marlins,Mike Hill,36814000,0.537,2009,0.452763199
Milwaukee Brewers,Douglas Melvin,80257502,0.494,2009,0.987060447
Minnesota Twins,Bill Smith,65299267,0.534,2009,0.803094067
NY Mets,Omar Minaya,135773988,0.432,2009,1.66983933
NY Yankees,Brian Cashman,201449289,0.636,2009,2.477558115
Oakland Athletics,Billy Beane,62310000,0.463,2009,0.766330062
Philadelphia Phillies,Ruben Amaro Jr.,113004048,0.574,2009,1.389799376
Pittsburgh Pirates,Neal Huntington,48743000,0.385,2009,0.59947402
San Diego Padres,Kevin Towers,42796700,0.463,2009,0.526342445
San Francisco Giants,Brian Sabean,82161450,0.543,2009,1.010476474
Seattle Mariners,Jack Zduriencik,98904167,0.525,2009,1.216389607
St. Louis Cardinals,John Mozeliak,88528411,0.562,2009,1.088781619
Tampa Bay Rays,Andrew Friedman,63313035,0.519,2009,0.778666057
Texas Rangers,Jon Daniels,68646023,0.537,2009,0.844254711
Toronto Blue Jays,J.P. Ricciardi,80993657,0.463,2009,0.996114174
Washington Nationals,Mike Rizzo,59328000,0.364,2009,0.729655431
Arizona DBacks,Josh Byrnes,60718167,0.401,2010,0.720046568
Atlanta Braves,Frank Wren,84423667,0.562,2010,1.00116612
Baltimore Orioles,Andy MacPhail,81612500,0.407,2010,0.967828962
Boston Red Sox,Theo Epstein,162747333,0.549,2010,1.929993351
Chicago Cubs,Jim Hendry,146859000,0.463,2010,1.741576273
Chicago White Sox,Ken Williams,108273197,0.543,2010,1.2839937
Cincinnati Reds,Walt Jocketty,72386544,0.562,2010,0.858419896
Cleveland Indians,Mark Shapiro,61203967,0.426,2010,0.725807589
Colorado Rockies,Dan O'Dowd,84227000,0.512,2010,0.99883388
Detroit Tigers,Dave Dombrowski,122864929,0.5,2010,1.457034605
Houston Astros,Ed Wade,92355500,0.469,2010,1.095228399
KC Royals,Dayton Moore,72267710,0.414,2010,0.857010663
LA Angels,Tony Reagins,105013667,0.494,2010,1.24533948
LA Dodgers,Ned Colletti,94945517,0.494,2010,1.125942977
Miami Marlins,Mike Hill,55641500,0.494,2010,0.659843225
Milwaukee Brewers,Douglas Melvin,81108279,0.475,2010,0.96184949
Minnesota Twins,Bill Smith,97559167,0.58,2010,1.156937814
NY Mets,Omar Minaya,132701445,0.488,2010,1.5736842
NY Yankees,Brian Cashman,206333389,0.586,2010,2.446873086
Oakland Athletics,Billy Beane,51654900,0.5,2010,0.612566804
Philadelphia Phillies,Ruben Amaro Jr.,141927381,0.599,2010,1.683093029
Pittsburgh Pirates,Neal Huntington,34943000,0.352,2010,0.414383182
San Diego Padres,Jed Hoyer,37799300,0.556,2010,0.448255565
San Francisco Giants,Brian Sabean,97828833,0.568,2010,1.160135738
Seattle Mariners,Jack Zduriencik,98376667,0.377,2010,1.166632409
St. Louis Cardinals,John Mozeliak,93540753,0.531,2010,1.109284116
Tampa Bay Rays,Andrew Friedman,71923471,0.593,2010,0.852928391
Texas Rangers,Jon Daniels,55250545,0.556,2010,0.655206955
Toronto Blue Jays,Alex Anthopoulos,62689357,0.525,2010,0.74342258
Washington Nationals,Mike Rizzo,61425000,0.426,2010,0.728428782
Arizona DBacks,Kevin Towers,53639833,0.58,2011,0.61858405
Atlanta Braves,Frank Wren,87003192,0.549,2011,1.003336213
Baltimore Orioles,Andy MacPhail,85304038,0.426,2011,0.983741268
Boston Red Sox,Theo Epstein,161407476,0.556,2011,1.861379588
Chicago Cubs,Jim Hendry,125480664,0.438,2011,1.447065232
Chicago White Sox,Ken Williams,129285539,0.488,2011,1.490943724
Cincinnati Reds,Walt Jocketty,76181365,0.488,2011,0.878536988
Cleveland Indians,Chris Antonetti,49188867,0.494,2011,0.567254722
Colorado Rockies,Dan O'Dowd,87998071,0.451,2011,1.014809333
Detroit Tigers,Dave Dombrowski,105705232,0.586,2011,1.219011449
Houston Astros,Ed Wade,70694000,0.346,2011,0.815255723
KC Royals,Dayton Moore,36126400,0.438,2011,0.41661604
